Start,End,Open,High,Low,Close,Volume,Market Cap
2025-03-08,2025-03-09,1.0010949999999998,1.001505,1.001085,1.001505,137324960981.446,142983730037.97562
2025-03-07,2025-03-08,1.00107,1.00125,1.000845,1.00104,178759925266.80487,142948062106.5784
2025-03-06,2025-03-07,1.00124,1.001295,1.00098,1.001105,151674778220.55634,142760988409.94016
2025-03-05,2025-03-06,1.00108,1.001395,1.000945,1.001285,192897959090.8711,142604671069.31012
2025-03-04,2025-03-05,1.001175,1.0013299999999998,1.00069,1.001025,237487884024.16724,142591866725.1115
2025-03-03,2025-03-04,1.001335,1.0013649999999998,1.0007899999999998,1.001175,264406268342.59583,142124606467.12195
2025-03-02,2025-03-03,1.001335,1.00189,1.00099,1.00138,138262003016.58536,141973277666.0662
2025-03-01,2025-03-02,1.0012699999999999,1.00153,1.000735,1.0014,166196415082.31012,141960416222.3345
2025-02-28,2025-03-01,1.0007899999999998,1.00139,1.00048,1.00115,220761530676.5366,141915661757.58884
2025-02-27,2025-02-28,1.0003,1.00084,1.00025,1.000785,200888013714.86758,141859666188.55054
2025-02-26,2025-02-27,1.000445,1.0010400000000002,1.000235,1.000305,209740467601.72125,141854160492.7491
2025-02-25,2025-02-26,1.001905,1.00221,1.000175,1.000465,239506456732.24738,141916899242.36584
2025-02-24,2025-02-25,1.00085,1.001455,1.000615,1.001455,118611535862.83275,141901980264.12195
2025-02-23,2025-02-24,1.0008,1.000915,1.000575,1.0008050000000002,93012986657.5749,141896215215.24042
2025-02-22,2025-02-23,1.00069,1.00092,1.00061,1.000755,158777165210.75357,141889702426.6893
2025-02-21,2025-02-22,1.00068,1.001015,1.00013,1.000635,144642576250.6725,141875755960.78397
2025-02-20,2025-02-21,1.0008,1.0010050000000001,1.00061,1.000725,117792224273.54007,141889593066.1115
2025-02-19,2025-02-20,1.0006599999999999,1.000925,1.00049,1.000745,134325786733.34843,139632359077.41812
2025-02-18,2025-02-19,1.00072,1.000845,1.000545,1.0006650000000001,128468123391.29965,138710849902.16028
2025-02-17,2025-02-18,1.000535,1.00085,1.0005199999999999,1.0007700000000002,102584459672.41812,138709458989.38675
2025-02-16,2025-02-17,1.0002550000000001,1.00055,1.00013,1.00055,78588625755.29617,138639700850.5366
2025-02-15,2025-02-16,1.00016,1.0003250000000001,1.000075,1.0002550000000001,122766914306.53659,138635035497.31708
2025-02-14,2025-02-15,1.0008050000000002,1.0008599999999999,0.99999,1.000095,129479642591.13937,138686318161.2195
2025-02-13,2025-02-14,1.0006599999999999,1.0008599999999999,0.999605,1.000855,154971654558.85367,138666545949.83972
2025-02-12,2025-02-13,1.00073,1.00089,1.00047,1.00061,137553593523.8432,138708295065.9094
2025-02-11,2025-02-12,1.00053,1.0008400000000002,1.000365,1.000775,121619901434.2892,138703692496.87457
2025-02-10,2025-02-11,1.00065,1.000925,1.000505,1.00053,129710005115.32404,138713791103.09756
2025-02-09,2025-02-10,1.00065,1.0009299999999999,1.00017,1.000695,95358179670.12195,138675538587.25784
2025-02-08,2025-02-09,1.0005899999999999,1.000785,1.000005,1.00056,138978576605.1777,138664198784.55054
2025-02-07,2025-02-08,1.00067,1.00088,0.99996,1.0005199999999999,153813891893.3554,138678255213.75262
2025-02-06,2025-02-07,0.999935,1.001,0.999915,1.0006750000000002,141709181572.31708,138680544424.34494
